brand,model,year,mileage,gearbox,price,age
CHEVROLET,SPIN PREMIER 7L 1.8,2022,43857,AUTOMÁTICO,103.79,2
MITSUBISHI,ECLIPSE CROSS GLS 1.5,2022,39461,AUTOMÁTICO,135.69,2
RENAULT,DUSTER EXPRESSION AT SCE 1.6 4P,2019,50706,AUTOMÁTICO,78.89,5
VOLKSWAGEN,T-CROSS COMFORTLINE 1.0,2022,47610,AUTOMÁTICO,112.99,2
RENAULT,DUSTER EXPRESSION AT SCE 1.6 4P,2019,65677,AUTOMÁTICO,77.99,5
VOLVO,XC40 T4 MOMENTUM 2.0,2020,34307,AUTOMÁTICO,205.39,4
VOLKSWAGEN,GOL MPI 1.0 4P,2022,47931,MANUAL,59.39,2
JEEP,COMPASS LIMITED FLEX 4X2 AT 2.0 4P,2020,35874,AUTOMÁTICO,122.19,4
VOLKSWAGEN,GOL MPI MT 1.6 4P,2020,88690,MANUAL,54.19,4
VOLKSWAGEN,TIGUAN ALLSPACE COMFORTLINE 7L 1.4,2019,70813,AUTOMÁTICO,133.99,5
FIAT,CRONOS DRIVE 1.3,2022,42098,MANUAL,76.29,2
FIAT,ARGO DRIVE 1.0 4P,2022,18503,MANUAL,69.29,2
FIAT,CRONOS DRIVE 1.3,2022,43356,MANUAL,76.29,2
FIAT,CRONOS DRIVE 1.3 4P,2022,50926,MANUAL,75.49,2
VOLKSWAGEN,VOYAGE 1.6,2021,61897,MANUAL,64.99,3
TOYOTA,COROLLA XEI VVT-IE AT 2.0 4P,2021,39921,AUTOMÁTICO,125.99,3
FIAT,ARGO DRIVE 1.0 4P,2020,66288,MANUAL,55.90,4
FIAT,STRADA CP ENDURANCE FLEX 1.4 2P,2022,25980,MANUAL,79.39,2
HYUNDAI,HB20S EVOLUTION 1.0,2022,71575,MANUAL,70.69,2
HYUNDAI,HB20 EVOLUTION 1.0 4P,2022,78809,MANUAL,65.59,2
HYUNDAI,HB20 VISION 1.0 4P,2022,41885,MANUAL,66.29,2
VOLKSWAGEN,VOYAGE MPI 1.0 4P,2022,40579,MANUAL,61.79,2
FIAT,CRONOS DRIVE 1.3,2022,46629,MANUAL,74.39,2
FIAT,CRONOS DRIVE 1.3,2022,48539,MANUAL,69.69,2
VOLKSWAGEN,GOL MPI 1.0 4P,2021,73549,MANUAL,53.19,3
VOLKSWAGEN,VIRTUS COMFORTLINE 200 TSI AT 1.0 4P,2021,50200,AUTOMÁTICO,77.79,3
